Epoch,Train Loss,Train PSNR,Train SSIM,Val Loss,Val PSNR,Val SSIM,LR
1,0.4303137093782425,12.27578649520874,0.5079470962285996,0.2484247088432312,14.39512856801351,0.7994755307833353,0.0001
2,0.2348575085401535,15.874802207946777,0.7630666136741638,0.19904698928197226,16.271236737569172,0.8292731444040934,0.0001
3,0.18614901900291442,17.468123531341554,0.8215475380420685,0.18604236344496408,17.25059445699056,0.8412471612294515,0.0001
4,0.16142793595790864,18.676958274841308,0.851264351606369,0.1788479040066401,17.640495618184406,0.8488786816596985,0.0001
5,0.14779756143689154,19.027849388122558,0.8705736815929412,0.16474666694800058,18.200154304504395,0.8636486132939657,0.0001
6,0.1383776657283306,19.980935955047606,0.8778048992156983,0.1546446830034256,18.662027676900227,0.8700467944145203,0.0001
7,0.13051276952028273,19.93787899017334,0.8879805088043213,0.1476133813460668,19.066532770792644,0.8754654129346212,0.0001
8,0.12576546743512154,20.47977695465088,0.8930788934230804,0.14304353793462118,19.357029914855957,0.8791489203770956,0.0001
9,0.12112124487757683,20.613859939575196,0.8955935120582581,0.1381417860587438,19.604798634847004,0.8823446234067281,0.0001
10,0.11472827419638634,21.20990867614746,0.9013473510742187,0.13066941251357397,20.013882637023926,0.8881857395172119,0.0001
